Strategy,Category,Moneyness,Expiry,Total_Costs_EUR,Final_PnL_EUR,PnL_Volatility,Num_Trades,Trade_Freq_Pct,Delta_Tracking_Error,Ticks
Whalley,Breve_Termine,ITM,2025-01-17,25.30215031032278,-11.217549122890432,0.3635146317584852,1037,4.403023097826087,0.011759672771084872,23552
Custom_Adaptive,Breve_Termine,ITM,2025-01-31,12.029259260674253,-6.6823344535414435,0.13134894851099188,19,0.185546875,0.013468147411501596,10240
Whalley,Breve_Termine,ITM,2025-01-31,12.283741560025064,-9.370363194935635,0.1122411878063101,535,5.224609375,0.008346739540244688,10240
Custom_Adaptive,Breve_Termine,OTM,2024-11-15,1.5028598839718876,0.6249412976507465,0.07912967260706023,4,0.15625,0.029006930297715654,2560
Whalley,Breve_Termine,OTM,2024-11-15,2.3091021408211962,-1.8804441046266653,0.044343884549879545,131,5.1171875,0.008677064046569953,2560
Custom_Adaptive,Breve_Termine,OTM,2024-11-29,3.569817145930363,-3.5525602148891977,0.0859200493722528,9,0.1171875,0.02054981876827428,7680
Whalley,Breve_Termine,OTM,2024-11-29,4.946458528930689,-7.713808297503782,0.0688058062114432,335,4.361979166666666,0.007726207720893041,7680
Custom_Adaptive,Breve_Termine,OTM,2024-12-20,8.019011175770217,3.696509109838132,0.12744364947130804,18,0.12122844827586207,0.022320329082796377,14848
Whalley,Breve_Termine,OTM,2024-12-20,9.801057310822436,-2.791261165165224,0.12002947963435714,511,3.441540948275862,0.009970496012317876,14848
Custom_Adaptive,Breve_Termine,OTM,2024-12-30,7.4600298892086725,-6.817469690551359,0.11045276647423695,17,0.12297453703703703,0.01593006077996188,13824
Whalley,Breve_Termine,OTM,2024-12-30,6.571756344977491,-4.137373587779475,0.09637972320127268,352,2.5462962962962963,0.009685253881468462,13824
Custom_Adaptive,Breve_Termine,OTM,2025-01-17,17.477882434746043,-12.23918725075071,0.1864287098473597,34,0.14436141304347824,0.02784966592118088,23552
